tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,genres,averageRating,numVotes,sortedTitle,imdb_url
tt1509787,movie,A Bag of Hammers,A Bag of Hammers,0,2011,\N,Comedy Drama,6.6,2887,A Bag of Hammers (2011),https://www.imdb.com/title/tt1509787/
tt5091612,movie,A Bag of Marbles,Un sac de billes,0,2017,\N,Biography Drama History,7.3,5055,A Bag of Marbles (2017),https://www.imdb.com/title/tt5091612/
tt2064713,movie,A Band Called Death,A Band Called Death,0,2012,\N,Biography Documentary Music,7.5,3615,A Band Called Death (2012),https://www.imdb.com/title/tt2064713/
tt0067656,movie,A Bay of Blood,Ecologia del delitto,0,1971,\N,Horror Mystery Thriller,6.6,9619,A Bay of Blood (1971),https://www.imdb.com/title/tt0067656/
tt3224458,movie,A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,0,2019,\N,Biography Drama,7.3,65632,A Beautiful Day in the Neighborhood (2019),https://www.imdb.com/title/tt3224458/
tt0268978,movie,A Beautiful Mind,A Beautiful Mind,0,2001,\N,Biography Drama,8.2,863423,A Beautiful Mind (2001),https://www.imdb.com/title/tt0268978/
tt1554091,movie,A Better Life,A Better Life,0,2011,\N,Drama Romance,7.2,15385,A Better Life (2011),https://www.imdb.com/title/tt1554091/
tt0092263,movie,A Better Tomorrow,Ying hung boon sik,0,1986,\N,Action Crime Drama,7.5,20996,A Better Tomorrow (1986),https://www.imdb.com/title/tt0092263/
tt0094357,movie,A Better Tomorrow II,Ying hung boon sik II,0,1987,\N,Action Crime Drama,7.3,9450,A Better Tomorrow II (1987),https://www.imdb.com/title/tt0094357/
tt0060165,movie,A Big Hand for the Little Lady,A Big Hand for the Little Lady,0,1966,\N,Western,7.3,3934,A Big Hand for the Little Lady (1966),https://www.imdb.com/title/tt0060165/
tt2056771,movie,A Bigger Splash,A Bigger Splash,0,2015,\N,Drama Music Thriller,6.4,27849,A Bigger Splash (2015),https://www.imdb.com/title/tt2056771/
tt5069074,movie,A Billion Lives,A Billion Lives,0,2016,\N,Documentary,8.6,2762,A Billion Lives (2016),https://www.imdb.com/title/tt5069074/
tt0101049,tvSeries,A Bit of Fry and Laurie,A Bit of Fry and Laurie,0,1987,1995,Comedy,8.3,9057,A Bit of Fry and Laurie (1987–1995),https://www.imdb.com/title/tt0101049/
tt0456912,movie,A Bittersweet Life,Dalkomhan insaeng,0,2005,\N,Action Crime Drama,7.5,37312,A Bittersweet Life (2005),https://www.imdb.com/title/tt0456912/
tt0064107,movie,A Boy Named Charlie Brown,A Boy Named Charlie Brown,0,1969,\N,Animation Comedy Drama,7.3,4582,A Boy Named Charlie Brown (1969),https://www.imdb.com/title/tt0064107/
tt0072730,movie,A Boy and His Dog,A Boy and His Dog,0,1975,\N,Comedy Drama Sci-Fi,6.5,16779,A Boy and His Dog (1975),https://www.imdb.com/title/tt0072730/
tt0385567,tvMovie,A Boyfriend for Christmas,A Boyfriend for Christmas,0,2004,\N,Comedy Drama Family,6.5,2987,A Boyfriend for Christmas (2004– ),https://www.imdb.com/title/tt0385567/
tt1280534,movie,A Boyfriend for My Wife,Un novio para mi mujer,0,2008,\N,Comedy Romance,6.7,3331,A Boyfriend for My Wife (2008),https://www.imdb.com/title/tt1280534/
tt2415112,tvMovie,A Bride for Christmas,A Bride for Christmas,0,2012,\N,Comedy Romance,6.6,3545,A Bride for Christmas (2012– ),https://www.imdb.com/title/tt2415112/
tt0075784,movie,A Bridge Too Far,A Bridge Too Far,0,1977,\N,Drama History War,7.4,53087,A Bridge Too Far (1977),https://www.imdb.com/title/tt0075784/
tt0103882,movie,A Brief History of Time,A Brief History of Time,0,1991,\N,Biography Documentary,7.3,5255,A Brief History of Time (1991),https://www.imdb.com/title/tt0103882/
tt0101985,movie,A Brighter Summer Day,Gu ling jie shao nian sha ren shi jian,0,1991,\N,Crime Drama Romance,8.4,8290,A Brighter Summer Day (1991),https://www.imdb.com/title/tt0101985/
tt3149038,movie,A Brilliant Young Mind,X+Y,0,2014,\N,Drama Romance,7.1,27753,A Brilliant Young Mind (2014),https://www.imdb.com/title/tt3149038/
tt0106489,movie,A Bronx Tale,A Bronx Tale,0,1993,\N,Crime Drama Romance,7.8,130443,A Bronx Tale (1993),https://www.imdb.com/title/tt0106489/
tt0120623,movie,A Bug's Life,A Bug's Life,0,1998,\N,Adventure Animation Comedy,7.2,270399,A Bug's Life (1998),https://www.imdb.com/title/tt0120623/
tt0061429,movie,A Bullet for the General,Quién sabe?,0,1967,\N,Action Western,7.1,4065,A Bullet for the General (1967),https://www.imdb.com/title/tt0061429/
tt7698468,movie,A Call to Spy,A Call to Spy,0,2019,\N,Biography Crime Drama,6.5,3026,A Call to Spy (2019),https://www.imdb.com/title/tt7698468/
tt1673702,movie,A Cat in Paris,Une vie de chat,0,2010,\N,Adventure Animation Comedy,6.9,10734,A Cat in Paris (2010),https://www.imdb.com/title/tt1673702/
tt0059026,tvMovie,A Charlie Brown Christmas,A Charlie Brown Christmas,0,1965,\N,Animation Comedy Family,8.4,33254,A Charlie Brown Christmas (1965– ),https://www.imdb.com/title/tt0059026/
tt0068359,tvMovie,A Charlie Brown Thanksgiving,A Charlie Brown Thanksgiving,0,1973,\N,Animation Comedy Family,7.7,9544,A Charlie Brown Thanksgiving (1973– ),https://www.imdb.com/title/tt0068359/
tt0056930,movie,A Child Is Waiting,A Child Is Waiting,0,1963,\N,Drama,7.2,2568,A Child Is Waiting (1963),https://www.imdb.com/title/tt0056930/
tt0093978,movie,A Chinese Ghost Story,Sien lui yau wan,0,1987,\N,Action Fantasy Horror,7.5,9019,A Chinese Ghost Story (1987),https://www.imdb.com/title/tt0093978/
tt0100625,movie,A Chinese Ghost Story II,Sien lui yau wan II: Yan gaan dou,0,1990,\N,Action Comedy Fantasy,6.9,3239,A Chinese Ghost Story II (1990),https://www.imdb.com/title/tt0100625/
tt0112778,movie,A Chinese Odyssey Part One: Pandora's Box,Sai yau gei: Yut gwong bou haap,0,1995,\N,Action Adventure Comedy,7.7,6339,A Chinese Odyssey Part One: Pandora's Box (1995),https://www.imdb.com/title/tt0112778/
tt0114996,movie,A Chinese Odyssey Part Two: Cinderella,Sai yau gei: Sin leui kei yun,0,1995,\N,Action Adventure Comedy,8.0,6495,A Chinese Odyssey Part Two: Cinderella (1995),https://www.imdb.com/title/tt0114996/
tt7686464,tvMiniSeries,A Christmas Carol,A Christmas Carol,0,2019,2019,Drama Fantasy,7.2,9009,A Christmas Carol (2019),https://www.imdb.com/title/tt7686464/
tt0087056,tvMovie,A Christmas Carol,A Christmas Carol,0,1984,\N,Drama Family Fantasy,7.8,12851,A Christmas Carol (1984– ),https://www.imdb.com/title/tt0087056/
tt0216621,tvMovie,A Christmas Carol,A Christmas Carol,0,1999,\N,Drama Fantasy,7.4,8590,A Christmas Carol (1999– ),https://www.imdb.com/title/tt0216621/
tt1067106,movie,A Christmas Carol,A Christmas Carol,0,2009,\N,Animation Drama Family,6.8,104894,A Christmas Carol (2009),https://www.imdb.com/title/tt1067106/
tt0085334,movie,A Christmas Story,A Christmas Story,0,1983,\N,Comedy Family,7.9,133780,A Christmas Story (1983),https://www.imdb.com/title/tt0085334/
tt0993789,movie,A Christmas Tale,Un conte de Noël,0,2008,\N,Comedy Drama,7.0,6771,A Christmas Tale (2008),https://www.imdb.com/title/tt0993789/
tt0096908,movie,A City of Sadness,Beiqing chengshi,0,1989,\N,Drama History,7.9,4304,A City of Sadness (1989),https://www.imdb.com/title/tt0096908/
tt0120633,movie,A Civil Action,A Civil Action,0,1998,\N,Drama,6.6,27740,A Civil Action (1998),https://www.imdb.com/title/tt0120633/
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,\N,Crime Drama Sci-Fi,8.3,768972,A Clockwork Orange (1971),https://www.imdb.com/title/tt0066921/
